anomaly_id,date,entity,metric,method,expected_value,actual_value,anomaly_score,severity
inventory_change|IQR|Abu Dhabi Distribution Center|2015-12-04 00:00:00|336,2015-12-04,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1355.0,17.49651567944251,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-12-22 00:00:00|720,2016-12-22,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1334.0,17.20383275261324,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-06-02 00:00:00|882,2017-06-02,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1328.0,17.12020905923345,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-01-19 00:00:00|748,2017-01-19,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1317.0,16.966898954703833,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-07-22 00:00:00|201,2015-07-22,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1316.0,16.95296167247387,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-08-08 00:00:00|584,2016-08-08,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1316.0,16.95296167247387,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-10-12 00:00:00|283,2015-10-12,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1315.0,16.9390243902439,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-08-25 00:00:00|966,2017-08-25,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1314.0,16.925087108013937,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-03-12 00:00:00|69,2015-03-12,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1308.0,16.841463414634145,High
inventory_change|IQR|Ajman Distribution Center|2016-02-25 00:00:00|419,2016-02-25,Ajman Distribution Center,inventory_change,IQR,-79.5,1733.0,16.794736842105262,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-05-16 00:00:00|500,2016-05-16,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1299.0,16.71602787456446,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-10-29 00:00:00|666,2016-10-29,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1297.0,16.68815331010453,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-04-10 00:00:00|829,2017-04-10,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1292.0,16.618466898954704,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-08-18 00:00:00|228,2015-08-18,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1291.0,16.60452961672474,High
inventory_change|IQR|Ajman Distribution Center|2017-09-29 00:00:00|1001,2017-09-29,Ajman Distribution Center,inventory_change,IQR,-79.5,1714.0,16.594736842105263,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-04-18 00:00:00|472,2016-04-18,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1287.0,16.548780487804876,High
inventory_change|IQR|Ajman Distribution Center|2015-12-08 00:00:00|340,2015-12-08,Ajman Distribution Center,inventory_change,IQR,-79.5,1709.0,16.542105263157893,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-01-01 00:00:00|364,2016-01-01,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1284.0,16.506968641114984,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-09-07 00:00:00|614,2016-09-07,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1283.0,16.493031358885016,High
inventory_change|IQR|Ajman Distribution Center|2015-04-27 00:00:00|115,2015-04-27,Ajman Distribution Center,inventory_change,IQR,-79.5,1704.0,16.489473684210527,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-04-06 00:00:00|94,2015-04-06,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1281.0,16.465156794425088,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-01-28 00:00:00|391,2016-01-28,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1273.0,16.353658536585368,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-07-12 00:00:00|557,2016-07-12,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1272.0,16.3397212543554,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-06-26 00:00:00|175,2015-06-26,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1270.0,16.31184668989547,High
inventory_change|IQR|Ajman Distribution Center|2017-07-12 00:00:00|922,2017-07-12,Ajman Distribution Center,inventory_change,IQR,-79.5,1687.0,16.310526315789474,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-03-14 00:00:00|802,2017-03-14,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1269.0,16.297909407665504,High
inventory_change|IQR|Ajman Distribution Center|2017-04-26 00:00:00|845,2017-04-26,Ajman Distribution Center,inventory_change,IQR,-79.5,1679.0,16.226315789473684,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-02-15 00:00:00|775,2017-02-15,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1261.0,16.186411149825783,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-06-13 00:00:00|528,2016-06-13,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1258.0,16.144599303135887,High
inventory_change|IQR|Ajman Distribution Center|2017-06-16 00:00:00|896,2017-06-16,Ajman Distribution Center,inventory_change,IQR,-79.5,1670.0,16.13157894736842,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-05-06 00:00:00|855,2017-05-06,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1255.0,16.10278745644599,High
inventory_change|IQR|Ajman Distribution Center|2016-10-07 00:00:00|644,2016-10-07,Ajman Distribution Center,inventory_change,IQR,-79.5,1665.0,16.07894736842105,High
inventory_change|IQR|Ajman Distribution Center|2017-09-02 00:00:00|974,2017-09-02,Ajman Distribution Center,inventory_change,IQR,-79.5,1665.0,16.07894736842105,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-07-28 00:00:00|938,2017-07-28,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1250.0,16.033101045296167,High
inventory_change|IQR|Ajman Distribution Center|2015-03-06 00:00:00|63,2015-03-06,Ajman Distribution Center,inventory_change,IQR,-79.5,1660.0,16.026315789473685,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-03-20 00:00:00|443,2016-03-20,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1248.0,16.005226480836235,High
inventory_change|IQR|Ajman Distribution Center|2015-11-12 00:00:00|314,2015-11-12,Ajman Distribution Center,inventory_change,IQR,-79.5,1656.0,15.98421052631579,High
inventory_change|IQR|Ajman Distribution Center|2017-02-10 00:00:00|770,2017-02-10,Ajman Distribution Center,inventory_change,IQR,-79.5,1656.0,15.98421052631579,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-11-08 00:00:00|310,2015-11-08,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1241.0,15.90766550522648,High
inventory_change|IQR|Ajman Distribution Center|2016-06-03 00:00:00|518,2016-06-03,Ajman Distribution Center,inventory_change,IQR,-79.5,1646.0,15.878947368421052,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-02-22 00:00:00|416,2016-02-22,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1238.0,15.865853658536585,High
inventory_change|IQR|Ajman Distribution Center|2017-08-07 00:00:00|948,2017-08-07,Ajman Distribution Center,inventory_change,IQR,-79.5,1644.0,15.857894736842105,High
inventory_change|IQR|Ajman Distribution Center|2016-08-18 00:00:00|594,2016-08-18,Ajman Distribution Center,inventory_change,IQR,-79.5,1642.0,15.836842105263157,High
inventory_change|IQR|Ajman Distribution Center|2015-05-23 00:00:00|141,2015-05-23,Ajman Distribution Center,inventory_change,IQR,-79.5,1642.0,15.836842105263157,High
inventory_change|IQR|Ajman Distribution Center|2015-07-12 00:00:00|191,2015-07-12,Ajman Distribution Center,inventory_change,IQR,-79.5,1641.0,15.826315789473684,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-07-02 00:00:00|912,2017-07-02,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1232.0,15.782229965156795,High
inventory_change|IQR|Ajman Distribution Center|2015-06-18 00:00:00|167,2015-06-18,Ajman Distribution Center,inventory_change,IQR,-79.5,1636.0,15.773684210526316,High
inventory_change|IQR|Ajman Distribution Center|2016-07-23 00:00:00|568,2016-07-23,Ajman Distribution Center,inventory_change,IQR,-79.5,1636.0,15.773684210526316,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-11-25 00:00:00|693,2016-11-25,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1229.0,15.740418118466899,High
inventory_change|IQR|Ajman Distribution Center|2016-05-09 00:00:00|493,2016-05-09,Ajman Distribution Center,inventory_change,IQR,-79.5,1632.0,15.73157894736842,High
inventory_change|IQR|Ajman Distribution Center|2015-04-01 00:00:00|89,2015-04-01,Ajman Distribution Center,inventory_change,IQR,-79.5,1629.0,15.7,High
inventory_change|IQR|Ajman Distribution Center|2016-04-14 00:00:00|468,2016-04-14,Ajman Distribution Center,inventory_change,IQR,-79.5,1628.0,15.689473684210526,High
inventory_change|IQR|Ajman Distribution Center|2016-12-21 00:00:00|719,2016-12-21,Ajman Distribution Center,inventory_change,IQR,-79.5,1628.0,15.689473684210526,High
inventory_change|IQR|Ajman Distribution Center|2016-06-28 00:00:00|543,2016-06-28,Ajman Distribution Center,inventory_change,IQR,-79.5,1627.0,15.678947368421053,High
inventory_change|IQR|Ajman Distribution Center|2017-03-07 00:00:00|795,2017-03-07,Ajman Distribution Center,inventory_change,IQR,-79.5,1623.0,15.636842105263158,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-09-16 00:00:00|257,2015-09-16,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1221.0,15.628919860627178,High
inventory_change|IQR|Ajman Distribution Center|2016-01-03 00:00:00|366,2016-01-03,Ajman Distribution Center,inventory_change,IQR,-79.5,1620.0,15.605263157894736,High
inventory_change|IQR|Ajman Distribution Center|2017-01-16 00:00:00|745,2017-01-16,Ajman Distribution Center,inventory_change,IQR,-79.5,1618.0,15.58421052631579,High
inventory_change|IQR|Abu Dhabi Distribution Center|2016-10-04 00:00:00|641,2016-10-04,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1217.0,15.573170731707316,High
inventory_change|IQR|Ajman Distribution Center|2016-09-12 00:00:00|619,2016-09-12,Ajman Distribution Center,inventory_change,IQR,-79.5,1615.0,15.552631578947368,High
inventory_change|IQR|Ajman Distribution Center|2015-08-30 00:00:00|240,2015-08-30,Ajman Distribution Center,inventory_change,IQR,-79.5,1608.0,15.478947368421053,High
inventory_change|IQR|Ajman Distribution Center|2015-10-17 00:00:00|288,2015-10-17,Ajman Distribution Center,inventory_change,IQR,-79.5,1608.0,15.478947368421053,High
inventory_change|IQR|Ajman Distribution Center|2015-02-09 00:00:00|38,2015-02-09,Ajman Distribution Center,inventory_change,IQR,-79.5,1605.0,15.447368421052632,High
inventory_change|IQR|Ajman Distribution Center|2015-08-06 00:00:00|216,2015-08-06,Ajman Distribution Center,inventory_change,IQR,-79.5,1603.0,15.426315789473684,High
inventory_change|IQR|Sharjah Distribution Center|2015-03-17 00:00:00|74,2015-03-17,Sharjah Distribution Center,inventory_change,IQR,-35.0,754.0,15.38888888888889,High
inventory_change|IQR|Ajman Distribution Center|2016-11-28 00:00:00|696,2016-11-28,Ajman Distribution Center,inventory_change,IQR,-79.5,1599.0,15.384210526315789,High
inventory_change|IQR|Ajman Distribution Center|2015-01-16 00:00:00|14,2015-01-16,Ajman Distribution Center,inventory_change,IQR,-79.5,1595.0,15.342105263157896,High
inventory_change|IQR|Ajman Distribution Center|2017-03-31 00:00:00|819,2017-03-31,Ajman Distribution Center,inventory_change,IQR,-79.5,1585.0,15.236842105263158,High
inventory_change|IQR|Ajman Distribution Center|2016-03-21 00:00:00|444,2016-03-21,Ajman Distribution Center,inventory_change,IQR,-79.5,1580.0,15.18421052631579,High
inventory_change|IQR|Ajman Distribution Center|2015-09-23 00:00:00|264,2015-09-23,Ajman Distribution Center,inventory_change,IQR,-79.5,1578.0,15.163157894736843,High
inventory_change|IQR|Ajman Distribution Center|2017-05-22 00:00:00|871,2017-05-22,Ajman Distribution Center,inventory_change,IQR,-79.5,1566.0,15.036842105263158,High
inventory_change|IQR|Dubai Distribution Center|2016-04-09 00:00:00|463,2016-04-09,Dubai Distribution Center,inventory_change,IQR,-84.0,1773.0,15.018518518518519,High
inventory_change|IQR|Sharjah Distribution Center|2016-03-30 00:00:00|453,2016-03-30,Sharjah Distribution Center,inventory_change,IQR,-35.0,736.0,14.988888888888889,High
inventory_change|IQR|Sharjah Distribution Center|2017-04-17 00:00:00|836,2017-04-17,Sharjah Distribution Center,inventory_change,IQR,-35.0,735.0,14.966666666666667,High
inventory_change|IQR|Sharjah Distribution Center|2016-11-25 00:00:00|693,2016-11-25,Sharjah Distribution Center,inventory_change,IQR,-35.0,734.0,14.944444444444445,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-10-03 00:00:00|1005,2017-10-03,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,-1258.0,14.921602787456447,High
inventory_change|IQR|Dubai Distribution Center|2015-01-19 00:00:00|17,2015-01-19,Dubai Distribution Center,inventory_change,IQR,-84.0,1762.0,14.916666666666666,High
inventory_change|IQR|Sharjah Distribution Center|2015-08-29 00:00:00|239,2015-08-29,Sharjah Distribution Center,inventory_change,IQR,-35.0,731.0,14.877777777777778,High
inventory_change|IQR|Sharjah Distribution Center|2015-02-24 00:00:00|53,2015-02-24,Sharjah Distribution Center,inventory_change,IQR,-35.0,727.0,14.78888888888889,High
inventory_change|IQR|Sharjah Distribution Center|2017-05-31 00:00:00|880,2017-05-31,Sharjah Distribution Center,inventory_change,IQR,-35.0,725.0,14.744444444444444,High
inventory_change|IQR|Sharjah Distribution Center|2017-02-02 00:00:00|762,2017-02-02,Sharjah Distribution Center,inventory_change,IQR,-35.0,723.0,14.7,High
inventory_change|IQR|Sharjah Distribution Center|2015-09-22 00:00:00|263,2015-09-22,Sharjah Distribution Center,inventory_change,IQR,-35.0,722.0,14.677777777777777,High
inventory_change|IQR|Sharjah Distribution Center|2016-08-20 00:00:00|596,2016-08-20,Sharjah Distribution Center,inventory_change,IQR,-35.0,719.0,14.61111111111111,High
inventory_change|IQR|Sharjah Distribution Center|2015-12-23 00:00:00|355,2015-12-23,Sharjah Distribution Center,inventory_change,IQR,-35.0,715.0,14.522222222222222,High
inventory_change|IQR|Sharjah Distribution Center|2017-08-08 00:00:00|949,2017-08-08,Sharjah Distribution Center,inventory_change,IQR,-35.0,715.0,14.522222222222222,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2015-12-07 00:00:00|337,2015-12-07,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,32.0,14.5,High
inventory_change|IQR|Sharjah Distribution Center|2015-05-26 00:00:00|144,2015-05-26,Sharjah Distribution Center,inventory_change,IQR,-35.0,709.0,14.38888888888889,High
inventory_change|IQR|Sharjah Distribution Center|2015-11-08 00:00:00|310,2015-11-08,Sharjah Distribution Center,inventory_change,IQR,-35.0,709.0,14.38888888888889,High
inventory_change|IQR|Sharjah Distribution Center|2016-04-20 00:00:00|474,2016-04-20,Sharjah Distribution Center,inventory_change,IQR,-35.0,709.0,14.38888888888889,High
inventory_change|IQR|Sharjah Distribution Center|2015-04-09 00:00:00|97,2015-04-09,Sharjah Distribution Center,inventory_change,IQR,-35.0,705.0,14.3,High
inventory_change|IQR|Sharjah Distribution Center|2017-06-25 00:00:00|905,2017-06-25,Sharjah Distribution Center,inventory_change,IQR,-35.0,703.0,14.255555555555556,High
inventory_change|IQR|Sharjah Distribution Center|2016-06-08 00:00:00|523,2016-06-08,Sharjah Distribution Center,inventory_change,IQR,-35.0,700.0,14.188888888888888,High
inventory_change|IQR|Sharjah Distribution Center|2017-09-25 00:00:00|997,2017-09-25,Sharjah Distribution Center,inventory_change,IQR,-35.0,699.0,14.166666666666666,High
inventory_change|IQR|Sharjah Distribution Center|2017-05-08 00:00:00|857,2017-05-08,Sharjah Distribution Center,inventory_change,IQR,-35.0,699.0,14.166666666666666,High
inventory_change|IQR|Sharjah Distribution Center|2015-07-12 00:00:00|191,2015-07-12,Sharjah Distribution Center,inventory_change,IQR,-35.0,699.0,14.166666666666666,High
inventory_change|IQR|Sharjah Distribution Center|2015-01-09 00:00:00|7,2015-01-09,Sharjah Distribution Center,inventory_change,IQR,-35.0,697.0,14.122222222222222,High
inventory_change|IQR|Sharjah Distribution Center|2017-03-01 00:00:00|789,2017-03-01,Sharjah Distribution Center,inventory_change,IQR,-35.0,696.0,14.1,High
inventory_change|IQR|Sharjah Distribution Center|2015-02-01 00:00:00|30,2015-02-01,Sharjah Distribution Center,inventory_change,IQR,-35.0,696.0,14.1,High
inventory_change|IQR|Sharjah Distribution Center|2017-07-18 00:00:00|928,2017-07-18,Sharjah Distribution Center,inventory_change,IQR,-35.0,696.0,14.1,High
inventory_change|IQR|Sharjah Distribution Center|2016-07-28 00:00:00|573,2016-07-28,Sharjah Distribution Center,inventory_change,IQR,-35.0,696.0,14.1,High
inventory_change|IQR|Sharjah Distribution Center|2017-03-24 00:00:00|812,2017-03-24,Sharjah Distribution Center,inventory_change,IQR,-35.0,694.0,14.055555555555555,High
inventory_change|IQR|Sharjah Distribution Center|2016-10-07 00:00:00|644,2016-10-07,Sharjah Distribution Center,inventory_change,IQR,-35.0,693.0,14.033333333333333,High
inventory_change|IQR|Sharjah Distribution Center|2015-05-03 00:00:00|121,2015-05-03,Sharjah Distribution Center,inventory_change,IQR,-35.0,690.0,13.966666666666667,High
inventory_change|IQR|Sharjah Distribution Center|2016-02-08 00:00:00|402,2016-02-08,Sharjah Distribution Center,inventory_change,IQR,-35.0,687.0,13.9,High
inventory_change|IQR|Sharjah Distribution Center|2015-06-19 00:00:00|168,2015-06-19,Sharjah Distribution Center,inventory_change,IQR,-35.0,686.0,13.877777777777778,High
inventory_change|IQR|Sharjah Distribution Center|2015-11-30 00:00:00|332,2015-11-30,Sharjah Distribution Center,inventory_change,IQR,-35.0,686.0,13.877777777777778,High
inventory_change|IQR|Sharjah Distribution Center|2015-10-15 00:00:00|286,2015-10-15,Sharjah Distribution Center,inventory_change,IQR,-35.0,685.0,13.855555555555556,High
inventory_change|IQR|Sharjah Distribution Center|2016-09-13 00:00:00|620,2016-09-13,Sharjah Distribution Center,inventory_change,IQR,-35.0,684.0,13.833333333333334,High
inventory_change|IQR|Sharjah Distribution Center|2015-08-05 00:00:00|215,2015-08-05,Sharjah Distribution Center,inventory_change,IQR,-35.0,682.0,13.78888888888889,High
inventory_change|IQR|Sharjah Distribution Center|2017-09-03 00:00:00|975,2017-09-03,Sharjah Distribution Center,inventory_change,IQR,-35.0,682.0,13.78888888888889,High
inventory_change|IQR|Sharjah Distribution Center|2016-12-18 00:00:00|716,2016-12-18,Sharjah Distribution Center,inventory_change,IQR,-35.0,681.0,13.766666666666667,High
inventory_change|IQR|Sharjah Distribution Center|2016-01-14 00:00:00|377,2016-01-14,Sharjah Distribution Center,inventory_change,IQR,-35.0,678.0,13.7,High
inventory_change|IQR|Sharjah Distribution Center|2016-05-15 00:00:00|499,2016-05-15,Sharjah Distribution Center,inventory_change,IQR,-35.0,677.0,13.677777777777777,High
inventory_change|IQR|Sharjah Distribution Center|2017-01-12 00:00:00|741,2017-01-12,Sharjah Distribution Center,inventory_change,IQR,-35.0,665.0,13.411111111111111,High
inventory_change|IQR|Sharjah Distribution Center|2016-07-03 00:00:00|548,2016-07-03,Sharjah Distribution Center,inventory_change,IQR,-35.0,663.0,13.366666666666667,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2016-07-08 00:00:00|551,2016-07-08,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,29.0,13.0,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2015-03-09 00:00:00|64,2015-03-09,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,29.0,13.0,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2015-04-06 00:00:00|92,2015-04-06,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,29.0,13.0,High
inventory_change|IQR|Sharjah Distribution Center|2017-10-03 00:00:00|1005,2017-10-03,Sharjah Distribution Center,inventory_change,IQR,-35.0,-689.0,12.677777777777777,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2016-04-30 00:00:00|482,2016-04-30,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,28.0,12.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2015-05-19 00:00:00|135,2015-05-19,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,28.0,12.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2017-01-02 00:00:00|729,2017-01-02,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,28.0,12.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2016-12-14 00:00:00|710,2016-12-14,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,27.0,12.0,High
inventory_change|IQR|Dubai Distribution Center|2017-02-09 00:00:00|769,2017-02-09,Dubai Distribution Center,inventory_change,IQR,-84.0,1421.0,11.75925925925926,High
inventory_change|IQR|Dubai Distribution Center|2017-08-13 00:00:00|954,2017-08-13,Dubai Distribution Center,inventory_change,IQR,-84.0,1415.0,11.703703703703704,High
inventory_change|IQR|Dubai Distribution Center|2015-10-31 00:00:00|302,2015-10-31,Dubai Distribution Center,inventory_change,IQR,-84.0,1410.0,11.657407407407407,High
inventory_change|IQR|Dubai Distribution Center|2016-08-13 00:00:00|589,2016-08-13,Dubai Distribution Center,inventory_change,IQR,-84.0,1406.0,11.62037037037037,High
inventory_change|IQR|Dubai Distribution Center|2016-11-25 00:00:00|693,2016-11-25,Dubai Distribution Center,inventory_change,IQR,-84.0,1401.0,11.574074074074074,High
inventory_change|IQR|Dubai Distribution Center|2017-04-01 00:00:00|820,2017-04-01,Dubai Distribution Center,inventory_change,IQR,-84.0,1395.0,11.518518518518519,High
inventory_change|IQR|Dubai Distribution Center|2016-02-15 00:00:00|409,2016-02-15,Dubai Distribution Center,inventory_change,IQR,-84.0,1394.0,11.50925925925926,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2015-01-14 00:00:00|10,2015-01-14,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2016-06-09 00:00:00|522,2016-06-09,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2016-03-23 00:00:00|444,2016-03-23,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2016-02-20 00:00:00|412,2016-02-20,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2015-09-13 00:00:00|252,2015-09-13,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2015-02-11 00:00:00|38,2015-02-11,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2015-10-31 00:00:00|300,2015-10-31,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2016-09-12 00:00:00|617,2016-09-12,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Ras Al Khaimah Distribution Center|2017-03-22 00:00:00|808,2017-03-22,Ras Al Khaimah Distribution Center,inventory_change,IQR,0.0,26.0,11.5,High
inventory_change|IQR|Dubai Distribution Center|2016-10-03 00:00:00|640,2016-10-03,Dubai Distribution Center,inventory_change,IQR,-84.0,1377.0,11.351851851851851,High
inventory_change|IQR|Dubai Distribution Center|2016-10-29 00:00:00|666,2016-10-29,Dubai Distribution Center,inventory_change,IQR,-84.0,1372.0,11.305555555555555,High
inventory_change|IQR|Dubai Distribution Center|2015-07-21 00:00:00|200,2015-07-21,Dubai Distribution Center,inventory_change,IQR,-84.0,1372.0,11.305555555555555,High
inventory_change|IQR|Dubai Distribution Center|2015-03-11 00:00:00|68,2015-03-11,Dubai Distribution Center,inventory_change,IQR,-84.0,1372.0,11.305555555555555,High
inventory_change|IQR|Dubai Distribution Center|2017-05-26 00:00:00|875,2017-05-26,Dubai Distribution Center,inventory_change,IQR,-84.0,1371.0,11.296296296296296,High
inventory_change|IQR|Dubai Distribution Center|2016-03-13 00:00:00|436,2016-03-13,Dubai Distribution Center,inventory_change,IQR,-84.0,1364.0,11.231481481481481,High
inventory_change|IQR|Dubai Distribution Center|2017-07-17 00:00:00|927,2017-07-17,Dubai Distribution Center,inventory_change,IQR,-84.0,1363.0,11.222222222222221,High
inventory_change|IQR|Dubai Distribution Center|2015-06-24 00:00:00|173,2015-06-24,Dubai Distribution Center,inventory_change,IQR,-84.0,1362.0,11.212962962962964,High
inventory_change|IQR|Dubai Distribution Center|2016-12-20 00:00:00|718,2016-12-20,Dubai Distribution Center,inventory_change,IQR,-84.0,1357.0,11.166666666666666,High
